iter	Accuracy	Logloss
0	0.7395730706	0.6895474138
1	0.7536945813	0.6861593513
2	0.7573070608	0.6827064251
3	0.7545155993	0.6792185415
4	0.7609195402	0.6758243855
5	0.7586206897	0.6726084642
6	0.758456486	0.669244936
7	0.7651888342	0.6660064848
8	0.7655172414	0.6629632258
9	0.7658456486	0.6598480074
10	0.7669950739	0.6568605119
11	0.7674876847	0.654060672
12	0.76863711	0.65120575
13	0.7673234811	0.64835171
14	0.7658456486	0.6456497668
15	0.765681445	0.6428280785
16	0.7660098522	0.6403550422
17	0.7679802956	0.6376532594
18	0.7696223317	0.6351720851
19	0.7697865353	0.6328011148
20	0.7727422003	0.6304889547
21	0.7714285714	0.6282817872
22	0.7735632184	0.6258204969
23	0.771592775	0.6234589876
24	0.7722495895	0.621271664
25	0.7712643678	0.6188741549
26	0.7740558292	0.6165485651
27	0.775862069	0.6142704806
28	0.7756978654	0.6120944219
29	0.775862069	0.6099121094
30	0.7761904762	0.6076592406
31	0.7781609195	0.6055569854
32	0.7763546798	0.6035450101
33	0.7773399015	0.6015303488
34	0.778817734	0.5995631126
35	0.7783251232	0.5976653101
36	0.7776683087	0.5957060515
37	0.7791461412	0.59390354
38	0.7799671593	0.5919415554
39	0.7796387521	0.590153997
40	0.7806239737	0.588229335
41	0.7825944171	0.586448712
42	0.7837438424	0.5847355584
43	0.7829228243	0.5828430076
44	0.783908046	0.5810282289
45	0.7848932677	0.5792570268
46	0.7848932677	0.5775978727
47	0.7845648604	0.5758995921
48	0.7852216749	0.5745115183
49	0.7850574713	0.5729819312
50	0.7862068966	0.5713596588
51	0.7860426929	0.5697963971
52	0.7865353038	0.5684088846
53	0.7888341544	0.5667476059
54	0.789819376	0.565149467
55	0.7901477833	0.5635793501
56	0.7909688013	0.5620117989
57	0.789819376	0.5605647947
58	0.7908045977	0.5591260888
59	0.7901477833	0.5576731113
60	0.7899835796	0.5562704854
61	0.7904761905	0.5548539085
62	0.7903119869	0.5534977454
63	0.7912972085	0.552182994
64	0.7911330049	0.5507965238
65	0.7916256158	0.5494217595
66	0.7924466338	0.5482470783
67	0.7929392447	0.5469431509
68	0.7929392447	0.5456279185
69	0.7927750411	0.5443009801
70	0.7931034483	0.5430161349
71	0.7942528736	0.5417890176
72	0.794909688	0.540549112
73	0.7954022989	0.5393392328
74	0.7972085386	0.5381240619
75	0.797044335	0.5370004538
76	0.7980295567	0.5358191179
77	0.7988505747	0.5345337916
78	0.7991789819	0.5333842862
79	0.7998357964	0.5322715421
80	0.7998357964	0.5310097881
81	0.8013136289	0.5300103349
82	0.8014778325	0.5289002768
83	0.8018062397	0.5279587919
84	0.8019704433	0.52694182
85	0.8022988506	0.526009756
86	0.802955665	0.524908758
87	0.8032840722	0.5237872345
88	0.8027914614	0.5227712246
89	0.8037766831	0.5217081104
90	0.8039408867	0.5207598105
91	0.8054187192	0.5197476893
92	0.8055829228	0.5186627668
