iter	Passed	Remaining
0	93	93269
1	181	90776
2	291	96714
3	413	102926
4	523	104224
5	623	103298
6	723	102638
7	830	103000
8	938	103385
9	1042	103234
10	1154	103793
11	1266	104298
12	1364	103603
13	1466	103261
14	1570	103132
15	1671	102766
16	1774	102632
17	1874	102244
18	1968	101633
19	2074	101637
20	2178	101569
21	2298	102159
22	2399	101918
23	2503	101791
24	2606	101657
25	2712	101602
26	2815	101446
27	2919	101364
28	3018	101081
29	3121	100927
30	3224	100796
31	3339	101017
32	3444	100925
33	3554	100977
34	3659	100893
35	3763	100766
36	3857	100398
37	3964	100366
38	4069	100265
39	4173	100175
40	4276	100017
41	4436	101201
42	4538	101016
43	4641	100856
44	4739	100578
45	4839	100375
46	4942	100208
47	5045	100072
48	5150	99962
49	5255	99846
50	5356	99681
51	5460	99556
52	5565	99450
53	5676	99437
54	5773	99200
55	5873	99002
56	5978	98901
57	6075	98681
58	6178	98545
59	6285	98479
60	6388	98333
61	6493	98239
62	6607	98275
63	6709	98125
64	6811	97987
65	6916	97873
66	7023	97805
67	7113	97491
68	7218	97398
69	7330	97385
70	7434	97271
71	7540	97188
72	7644	97076
73	7747	96942
74	7852	96844
75	7951	96679
76	8054	96545
77	8157	96426
78	8257	96262
79	8370	96255
80	8468	96078
81	8573	95977
82	8674	95837
83	8780	95752
84	8882	95612
85	8980	95444
86	9084	95335
87	9192	95264
88	9291	95112
89	9391	94953
90	9495	94855
91	9604	94795
92	9710	94707
93	9810	94556
94	9910	94413
95	10014	94302
96	10117	94188
97	10228	94146
98	10332	94033
99	10425	93831
100	10520	93642
101	10615	93462
102	10708	93255
103	10803	93075
104	10894	92865
105	10990	92695
106	11084	92506
107	11175	92304
108	11278	92195
109	11370	92000
110	11461	91797
111	11553	91605
112	11648	91436
113	11744	91273
114	11837	91099
115	11931	90929
116	12029	90783
117	12125	90629
118	12222	90485
119	12315	90310
120	12418	90211
121	12515	90068
122	12608	89901
123	12703	89744
124	12801	89609
125	12897	89460
126	12993	89317
127	13087	89159
128	13182	89009
129	13271	88817
130	13364	88653
131	13463	88530
132	13558	88387
133	13657	88262
134	13751	88113
135	13859	88046
136	13960	87942
137	14070	87891
138	14234	88173
139	14338	88079
140	14453	88054
141	14554	87944
142	14652	87815
143	14759	87737
144	14854	87591
145	14950	87451
146	15055	87360
147	15190	87447
148	15303	87404
149	15392	87223
150	15486	87070
151	15584	86943
152	15677	86791
153	15774	86657
154	15865	86491
155	15956	86330
156	16053	86199
157	16147	86052
158	16238	85888
159	16338	85778
160	16432	85634
161	16528	85500
162	16628	85385
163	16722	85241
164	16817	85104
165	16904	84931
166	16998	84790
167	17087	84625
168	17177	84466
169	17268	84310
170	17360	84164
171	17453	84020
172	17547	83882
173	17634	83713
174	17725	83562
175	17818	83422
176	17906	83259
177	17998	83118
178	18092	82980
179	18196	82894
180	18285	82738
181	18371	82573
182	18463	82429
183	18550	82268
184	18643	82130
185	18734	81990
186	18825	81845
187	18916	81705
188	19007	81562
189	19100	81427
190	19184	81258
191	19283	81151
192	19369	80991
193	19459	80848
194	19554	80726
195	19652	80613
196	19750	80503
197	19836	80348
198	19923	80196
199	20020	80082
200	20119	79978
201	20220	79882
202	20318	79773
203	20417	79667
204	20515	79559
205	20603	79413
206	20693	79274
207	20783	79138
208	20876	79011
209	20965	78869
210	21092	78870
211	21183	78737
212	21275	78610
213	21364	78471
214	21451	78322
215	21541	78189
216	21633	78060
217	21722	77921
218	21812	77789
219	21901	77649
220	21990	77514
221	22083	77390
222	22190	77317
223	22276	77172
224	22368	77048
225	22493	77033
226	22607	76985
227	22694	76843
228	22783	76708
229	22871	76570
230	22956	76420
231	23044	76286
232	23157	76232
233	23260	76144
234	23349	76011
235	23438	75878
236	23551	75823
237	23678	75810
238	23780	75719
239	23871	75594
240	23985	75539
241	24120	75550
242	24228	75477
243	24335	75400
244	24483	75448
245	24574	75320
246	24670	75211
247	24759	75075
248	24848	74945
249	24942	74828
250	25040	74722
251	25132	74601
252	25225	74479
253	25312	74342
254	25404	74221
255	25496	74100
256	25588	73977
257	25681	73860
258	25769	73726
259	25863	73610
260	25951	73480
261	26039	73348
262	26138	73248
263	26226	73117
264	26313	72981
265	26405	72864
266	26498	72746
267	26586	72617
268	26678	72496
269	26770	72380
270	26866	72270
271	26960	72157
272	27048	72031
273	27141	71915
274	27246	71831
275	27334	71703
276	27425	71582
277	27515	71461
278	27608	71346
279	27701	71232
280	27796	71123
281	27883	70995
282	27977	70883
283	28065	70756
284	28159	70645
285	28262	70556
286	28347	70425
287	28434	70296
288	28523	70174
289	28615	70057
